 cliente ; fecha      ; hora     ; p1/1000 ; p2/1000 
2;2016-12-10;04:38:00;254;254
2;2016-12-10;04:39:00;254;0
2;2016-12-10;04:40:07;254;254
2;2016-12-10;04:41:00;254;254
2;2016-12-10;04:42:00;0;0
2;2016-12-10;04:43:00;254;254
2;2016-12-10;04:44:00;0;0
2;2016-12-10;04:45:00;0;0
2;2016-12-10;04:46:00;0;0
2;2016-12-10;04:46:05;254;0
2;2016-12-10;04:47:00;0;0
2;2016-12-10;04:48:18;254;254
2;2016-12-10;04:49:00;0;0
2;2016-12-10;04:50:00;0;0
2;2016-12-10;04:51:00;0;0
2;2016-12-10;04:52:00;254;0
2;2016-12-10;04:53:00;0;0
2;2016-12-10;04:54:00;0;254
2;2016-12-10;04:55:00;0;0
2;2016-12-10;04:56:00;0;0
2;2016-12-10;04:57:00;0;0
2;2016-12-10;04:58:00;254;254
2;2016-12-10;04:59:06;0;0
2;2016-12-10;05:00:00;0;0
2;2016-12-10;05:01:00;0;0
2;2016-12-10;05:02:00;254;0
2;2016-12-10;05:03:00;0;254
2;2016-12-10;05:04:00;0;0
2;2016-12-10;05:05:00;0;0
2;2016-12-10;05:06:07;254;0
2;2016-12-10;05:07:00;0;254
2;2016-12-10;05:08:00;0;0
2;2016-12-10;05:09:00;0;0
2;2016-12-10;05:10:00;254;0
2;2016-12-10;05:11:00;0;0
2;2016-12-10;05:12:00;0;0
2;2016-12-10;05:13:07;0;0
2;2016-12-10;05:14:00;0;0
2;2016-12-10;05:15:00;0;254
2;2016-12-10;05:16:00;0;0
2;2016-12-10;05:17:00;0;0
2;2016-12-10;05:18:07;254;0
2;2016-12-10;05:19:00;0;0
2;2016-12-10;05:20:00;0;0
2;2016-12-10;05:21:00;0;0
2;2016-12-10;05:22:00;0;254
2;2016-12-10;05:23:00;0;0
2;2016-12-10;05:24:19;0;0
2;2016-12-10;05:25:00;0;0
2;2016-12-10;05:26:00;254;0
2;2016-12-10;05:27:00;0;0
2;2016-12-10;05:28:00;0;0
2;2016-12-10;05:29:00;0;254
2;2016-12-10;05:30:00;0;0
2;2016-12-10;05:31:07;254;0
2;2016-12-10;05:32:00;0;0
2;2016-12-10;05:33:00;0;0
2;2016-12-10;05:34:00;0;0
2;2016-12-10;05:35:07;0;254
2;2016-12-10;05:36:00;0;0
2;2016-12-10;05:37:00;0;0
2;2016-12-10;05:38:00;254;0
2;2016-12-10;05:39:00;0;0
2;2016-12-10;05:40:00;0;0
2;2016-12-10;05:41:20;0;0
2;2016-12-10;05:42:00;0;0
2;2016-12-10;05:43:00;0;0
2;2016-12-10;05:44:00;0;0
2;2016-12-10;05:45:00;0;0
2;2016-12-10;05:46:00;0;0
2;2016-12-10;05:47:00;0;0
2;2016-12-10;05:48:00;0;0
2;2016-12-10;05:49:00;0;0
2;2016-12-10;05:50:00;0;0
