 cliente ; fecha      ; hora     ; p1/1000 ; p2/1000 
18;2016-12-10;02:00:18;0;0
18;2016-12-10;02:01:18;0;0
18;2016-12-10;02:02:18;0;0
18;2016-12-10;02:03:18;0;0
18;2016-12-10;02:04:18;0;0
18;2016-12-10;02:05:18;0;0
18;2016-12-10;02:06:18;0;0
18;2016-12-10;02:07:18;0;0
18;2016-12-10;02:08:18;0;0
18;2016-12-10;02:09:18;0;0
18;2016-12-10;02:10:18;0;0
18;2016-12-10;02:11:18;0;0
18;2016-12-10;02:12:18;0;0
18;2016-12-10;02:13:18;0;0
18;2016-12-10;02:14:18;0;0
18;2016-12-10;02:15:18;0;0
18;2016-12-10;02:16:18;0;0
18;2016-12-10;02:17:18;0;0
18;2016-12-10;02:18:18;0;0
18;2016-12-10;02:19:18;0;0
18;2016-12-10;02:20:18;0;0
18;2016-12-10;02:21:18;0;0
18;2016-12-10;02:22:18;0;0
18;2016-12-10;02:23:18;0;0
18;2016-12-10;02:24:18;0;0
18;2016-12-10;02:25:18;0;0
18;2016-12-10;02:26:18;0;0
18;2016-12-10;02:27:18;0;0
18;2016-12-10;02:28:18;0;0
18;2016-12-10;02:29:18;0;0
18;2016-12-10;02:30:18;0;0
18;2016-12-10;02:31:18;0;0
18;2016-12-10;02:32:18;0;0
18;2016-12-10;02:33:18;0;0
18;2016-12-10;02:34:18;0;0
18;2016-12-10;02:35:18;0;0
18;2016-12-10;02:36:18;0;0
18;2016-12-10;02:37:18;0;0
18;2016-12-10;02:38:18;0;0
18;2016-12-10;02:39:18;0;1016
18;2016-12-10;02:40:18;0;1016
18;2016-12-10;02:41:18;0;508
18;2016-12-10;02:42:18;0;508
18;2016-12-10;02:43:18;0;254
18;2016-12-10;02:44:18;0;508
18;2016-12-10;02:45:18;0;508
18;2016-12-10;02:49:18;0;254
18;2016-12-10;02:50:18;0;254
18;2016-12-10;02:51:18;0;508
18;2016-12-10;02:52:18;0;508
18;2016-12-10;02:53:18;0;508
18;2016-12-10;02:54:18;0;762
18;2016-12-10;02:55:18;0;508
18;2016-12-10;02:56:18;0;254
18;2016-12-10;02:57:18;0;508
18;2016-12-10;02:58:18;0;254
18;2016-12-10;02:59:18;0;254
18;2016-12-10;03:00:18;0;0
18;2016-12-10;03:01:18;0;508
18;2016-12-10;03:02:18;0;254
18;2016-12-10;03:03:18;0;254
18;2016-12-10;03:04:18;0;508
18;2016-12-10;03:05:18;0;0
18;2016-12-10;03:06:18;0;254
18;2016-12-10;03:07:18;0;254
18;2016-12-10;03:08:18;0;0
18;2016-12-10;03:09:18;0;254
18;2016-12-10;03:10:18;0;508
18;2016-12-10;03:11:18;0;254
18;2016-12-10;03:12:18;0;254
18;2016-12-10;03:13:18;0;254
18;2016-12-10;03:14:18;0;0
18;2016-12-10;03:15:18;0;254
18;2016-12-10;03:16:18;0;254
18;2016-12-10;03:17:18;0;0
18;2016-12-10;03:18:18;0;254
18;2016-12-10;03:19:18;0;0
18;2016-12-10;03:20:18;0;254
18;2016-12-10;03:21:18;0;254
18;2016-12-10;03:22:18;0;0
18;2016-12-10;03:23:18;0;254
18;2016-12-10;03:24:18;0;254
18;2016-12-10;03:25:18;0;254
18;2016-12-10;03:26:18;0;0
18;2016-12-10;03:27:18;0;254
18;2016-12-10;03:28:18;0;254
18;2016-12-10;03:29:18;0;254
18;2016-12-10;03:30:18;0;254
18;2016-12-10;03:31:18;0;254
18;2016-12-10;03:32:18;0;254
18;2016-12-10;03:33:18;0;254
18;2016-12-10;03:34:18;0;254
18;2016-12-10;03:35:18;0;0
18;2016-12-10;03:36:18;0;254
18;2016-12-10;03:37:18;0;254
18;2016-12-10;03:38:18;0;254
18;2016-12-10;03:39:18;0;254
18;2016-12-10;03:40:18;0;254
18;2016-12-10;03:41:18;0;0
18;2016-12-10;03:42:18;0;254
18;2016-12-10;03:43:18;0;0
18;2016-12-10;03:44:18;0;254
18;2016-12-10;03:45:18;0;0
18;2016-12-10;03:46:18;0;254
18;2016-12-10;03:47:18;0;0
18;2016-12-10;03:48:18;0;254
18;2016-12-10;03:49:18;0;0
18;2016-12-10;03:50:18;0;254
18;2016-12-10;03:51:18;0;0
18;2016-12-10;03:52:18;0;254
18;2016-12-10;03:53:18;0;254
18;2016-12-10;03:54:18;0;0
18;2016-12-10;03:55:18;0;0
18;2016-12-10;03:56:18;0;254
18;2016-12-10;03:57:18;0;0
18;2016-12-10;03:58:18;0;0
18;2016-12-10;03:59:18;0;254
18;2016-12-10;04:00:18;0;0
18;2016-12-10;04:01:18;0;254
18;2016-12-10;04:02:18;0;0
18;2016-12-10;04:03:18;0;254
18;2016-12-10;04:04:18;0;0
18;2016-12-10;04:05:18;0;254
18;2016-12-10;04:06:18;0;254
18;2016-12-10;04:07:18;0;254
18;2016-12-10;04:08:18;0;254
18;2016-12-10;04:09:18;0;0
18;2016-12-10;04:10:18;0;254
18;2016-12-10;04:11:18;0;0
18;2016-12-10;04:12:18;0;254
18;2016-12-10;04:13:18;0;0
18;2016-12-10;04:14:18;0;254
18;2016-12-10;04:15:18;0;254
18;2016-12-10;04:16:18;0;254
18;2016-12-10;04:17:18;0;254
18;2016-12-10;04:18:18;0;254
18;2016-12-10;04:19:18;0;254
18;2016-12-10;04:20:18;0;508
18;2016-12-10;04:21:18;0;508
18;2016-12-10;04:22:18;0;508
18;2016-12-10;04:23:18;0;254
18;2016-12-10;04:24:18;0;254
18;2016-12-10;04:25:18;0;508
18;2016-12-10;04:26:18;0;0
18;2016-12-10;04:27:18;0;254
18;2016-12-10;04:28:18;0;254
18;2016-12-10;04:29:18;0;0
18;2016-12-10;04:30:18;0;254
18;2016-12-10;04:31:18;0;254
18;2016-12-10;04:32:18;0;0
18;2016-12-10;04:33:18;0;254
18;2016-12-10;04:34:18;0;254
18;2016-12-10;04:35:18;0;0
18;2016-12-10;04:36:18;0;254
18;2016-12-10;04:37:18;0;0
18;2016-12-10;04:38:18;0;254
18;2016-12-10;04:39:18;0;0
18;2016-12-10;04:40:18;0;0
18;2016-12-10;04:41:18;0;0
18;2016-12-10;04:42:18;0;254
18;2016-12-10;04:43:18;0;0
18;2016-12-10;04:44:18;0;0
18;2016-12-10;04:45:18;0;254
18;2016-12-10;04:46:18;0;0
18;2016-12-10;04:47:18;0;0
18;2016-12-10;04:48:18;0;0
18;2016-12-10;04:49:18;0;0
18;2016-12-10;04:50:18;0;0
18;2016-12-10;04:51:18;0;254
18;2016-12-10;04:52:18;0;0
18;2016-12-10;04:53:18;0;0
18;2016-12-10;04:54:18;0;254
18;2016-12-10;04:55:18;0;0
18;2016-12-10;04:56:18;0;0
18;2016-12-10;04:57:18;0;0
18;2016-12-10;04:58:18;0;0
18;2016-12-10;04:59:18;0;254
18;2016-12-10;05:00:18;0;0
18;2016-12-10;05:01:18;0;0
